number,sample_ID,strain,site,type,state,rep_site,rep_type,rep_state
1,js-0-1,js-0,Pot,YBS,Water,1,1,1
2,js-0-2,js-0,Pot,YBS,Water,2,2,2
3,js-0-3,js-0,Pot,YBS,Water,3,3,3
4,js-0-4,js-0,Pot,YBS,Water,4,4,4
5,js-0-5,js-0,Pot,YBS,Water,5,5,5
6,js-0-6,js-0,Pot,YBS,Water,6,6,6
7,js-sua-1,js-sua,Pot,YBS,Sua,7,7,1
8,js-sua-2,js-sua,Pot,YBS,Sua,8,8,2
9,js-sua-3,js-sua,Pot,YBS,Sua,9,9,3
10,js-sua-4,js-sua,Pot,YBS,Sua,10,10,4
11,js-sua-5,js-sua,Pot,YBS,Sua,11,11,5
12,js-sua-6,js-sua,Pot,YBS,Sua,12,12,6
13,js-man-1,js-man,Pot,YBS,Man,13,13,1
14,js-man-2,js-man,Pot,YBS,Man,14,14,2
15,js-man-3,js-man,Pot,YBS,Man,15,15,3
16,js-man-4,js-man,Pot,YBS,Man,16,16,4
17,js-man-5,js-man,Pot,YBS,Man,17,17,5
18,js-man-6,js-man,Pot,YBS,Man,18,18,6
19,gz-0-1,gz-0,Pot,RS,Water,19,1,1
20,gz-0-2,gz-0,Pot,RS,Water,20,2,2
21,gz-0-3,gz-0,Pot,RS,Water,21,3,3
22,gz-0-4,gz-0,Pot,RS,Water,22,4,4
23,gz-0-5,gz-0,Pot,RS,Water,23,5,5
24,gz-0-6,gz-0,Pot,RS,Water,24,6,6
25,gz-sua-1,gz-sua,Pot,RS,Sua,25,7,1
26,gz-sua-2,gz-sua,Pot,RS,Sua,26,8,2
27,gz-sua-3,gz-sua,Pot,RS,Sua,27,9,3
28,gz-sua-4,gz-sua,Pot,RS,Sua,28,10,4
29,gz-sua-5,gz-sua,Pot,RS,Sua,29,11,5
30,gz-sua-6,gz-sua,Pot,RS,Sua,30,12,6
31,gz-man-1,gz-man,Pot,RS,Man,31,13,1
32,gz-man-2,gz-man,Pot,RS,Man,32,14,2
33,gz-man-3,gz-man,Pot,RS,Man,33,15,3
34,gz-man-4,gz-man,Pot,RS,Man,34,16,4
35,gz-man-5,gz-man,Pot,RS,Man,35,17,5
36,gz-man-6,gz-man,Pot,RS,Man,36,18,6
37,gx-0-1,gx-0,Pot,RS,Water,37,19,1
38,gx-0-2,gx-0,Pot,RS,Water,38,20,2
39,gx-0-3,gx-0,Pot,RS,Water,39,21,3
40,gx-0-4,gx-0,Pot,RS,Water,40,22,4
41,gx-0-5,gx-0,Pot,RS,Water,41,23,5
42,gx-0-6,gx-0,Pot,RS,Water,42,24,6
43,gx-sua-1,gx-sua,Pot,RS,Sua,43,25,1
44,gx-sua-2,gx-sua,Pot,RS,Sua,44,26,2
45,gx-sua-3,gx-sua,Pot,RS,Sua,45,27,3
46,gx-sua-4,gx-sua,Pot,RS,Sua,46,28,4
47,gx-sua-5,gx-sua,Pot,RS,Sua,47,29,5
48,gx-sua-6,gx-sua,Pot,RS,Sua,48,30,6
49,gx-man-1,gx-man,Pot,RS,Man,49,31,1
50,gx-man-2,gx-man,Pot,RS,Man,50,32,2
51,gx-man-3,gx-man,Pot,RS,Man,51,33,3
52,gx-man-4,gx-man,Pot,RS,Man,52,34,4
53,gx-man-5,gx-man,Pot,RS,Man,53,35,5
