pathway,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,level1,level2,level3
ko00010,0.008348145,0.008165552,0.008161035,0.008264572,0.008227773,0.008373048,0.008449641,0.008366416,0.008113004,0.008146075,0.008324172,0.008323597,0.008208926,0.008601005,0.008350288,0.008274152,0.00828016,0.008228559,0.008244084,0.008252874,0.008297132,0.008219382,0.008541721,0.008142041,Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
ko00020,0.005363149,0.005097925,0.005360648,0.005379595,0.005194717,0.005469475,0.005570314,0.005523445,0.005469788,0.005826753,0.005423369,0.00553667,0.0057583,0.005545057,0.005349076,0.005864991,0.005575845,0.00546518,0.005592037,0.005596023,0.00572705,0.005756534,0.005576037,0.005440754,Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism
ko00030,0.004483434,0.004577154,0.00422057,0.004463975,0.004546394,0.004508052,0.004455772,0.004368672,0.004409841,0.004454447,0.004532763,0.004483415,0.004527817,0.004455693,0.004502757,0.004485455,0.004459723,0.00452783,0.004522112,0.004646596,0.004598442,0.004457213,0.004755199,0.004538523,Pentose phosphate pathway,Carbohydrate metabolism,Metabolism
ko00040,0.002914167,0.002653529,0.002723517,0.002620096,0.002760216,0.00266546,0.002683675,0.002640994,0.002545848,0.002529279,0.002671929,0.002491819,0.00272677,0.002794486,0.002543774,0.002583001,0.002613163,0.002793006,0.00270012,0.002644013,0.002667747,0.002574685,0.002857732,0.002805443,Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism
ko00051,0.003671387,0.003730383,0.00346825,0.003674188,0.003722097,0.003595635,0.003631411,0.003512245,0.003492647,0.003402971,0.003607987,0.003526763,0.003577254,0.003718508,0.003824715,0.003505747,0.003543595,0.003701237,0.003638161,0.003665411,0.003586283,0.003408104,0.003969334,0.003575639,Fructose and mannose metabolism,Carbohydrate metabolism,Metabolism
ko00052,0.002716407,0.002268297,0.002927476,0.002717627,0.002652756,0.002521022,0.002605995,0.002577513,0.002477119,0.002419689,0.002642935,0.002555178,0.00272564,0.002724186,0.002810173,0.002651721,0.002630006,0.002887634,0.002747616,0.002793258,0.002717944,0.002665429,0.003202155,0.002765589,Galactose metabolism,Carbohydrate metabolism,Metabolism
ko00053,0.001967172,0.001982931,0.001895632,0.001814549,0.001948961,0.001882342,0.00190835,0.001850543,0.001822868,0.001833041,0.001953435,0.001868513,0.001764235,0.001959402,0.001764942,0.001806918,0.001813902,0.001892574,0.001848803,0.001864988,0.00188679,0.001934649,0.001920933,0.001967272,Ascorbate and aldarate metabolism,Carbohydrate metabolism,Metabolism
ko00061,0.008659179,0.007744366,0.008471859,0.008349371,0.008536369,0.008523442,0.008732605,0.008887724,0.00863106,0.008456717,0.008374532,0.008379373,0.008400161,0.008383057,0.008319453,0.008234442,0.008574747,0.008425128,0.008664379,0.008358794,0.008318862,0.008491141,0.008665974,0.008512377,Fatty acid biosynthesis,Lipid metabolism,Metabolism
ko00062,8.96E-06,1.52E-05,2.13E-05,1.23E-05,1.23E-05,1.03E-05,1.09E-05,1.47E-05,1.42E-05,1.33E-05,7.58E-06,7.82E-06,1.56E-05,9.19E-06,1.37E-05,1.16E-05,1.11E-05,1.32E-05,1.28E-05,9.22E-06,1.28E-05,1.41E-05,1.78E-05,1.45E-05,Fatty acid elongation,Lipid metabolism,Metabolism
ko00071,0.009677306,0.008977582,0.009704542,0.009417526,0.009290644,0.009662708,0.009515201,0.009721931,0.009803214,0.009080245,0.009279037,0.009246744,0.008730651,0.00970125,0.009704036,0.008975714,0.009329191,0.009439755,0.009588578,0.00881362,0.009257772,0.00906958,0.009056016,0.009309391,Fatty acid degradation,Lipid metabolism,Metabolism
ko00072,0.002163849,0.00199271,0.002166752,0.002080921,0.002080514,0.002159081,0.002151903,0.002158035,0.002213305,0.002162511,0.002086947,0.002091611,0.002040311,0.002127457,0.002069327,0.002126195,0.002125626,0.002197012,0.002179994,0.002073278,0.002211431,0.002237599,0.002088278,0.002215197,Synthesis and degradation of ketone bodies,Lipid metabolism,Metabolism
ko00073,5.32E-06,2.71E-06,1.47E-05,7.39E-06,4.23E-06,4.67E-06,3.57E-06,3.63E-06,4.42E-06,5.37E-06,4.58E-06,6.04E-06,7.88E-06,6.56E-06,3.41E-06,5.94E-06,4.68E-06,9.05E-06,5.09E-06,4.11E-06,7.45E-06,9.01E-06,6.32E-06,7.75E-06,"Cutin, suberine and wax biosynthesis",Lipid metabolism,Metabolism
ko00100,3.60E-05,3.08E-05,4.42E-05,2.68E-05,3.88E-05,3.58E-05,3.35E-05,4.99E-05,2.85E-05,1.99E-05,2.92E-05,2.54E-05,2.75E-05,3.41E-05,4.12E-05,2.36E-05,3.48E-05,3.77E-05,3.97E-05,2.47E-05,2.76E-05,2.37E-05,3.31E-05,2.85E-05,Steroid biosynthesis,Lipid metabolism,Metabolism
ko00120,0.000429545,0.000408579,0.000349942,0.000390629,0.000427803,0.000453388,0.000403949,0.000385858,0.000410865,0.000407878,0.00040591,0.000390721,0.000375646,0.000374229,0.000399449,0.000363458,0.000393761,0.000405653,0.00041298,0.000392569,0.000436019,0.000387248,0.000371653,0.000424027,Primary bile acid biosynthesis,Lipid metabolism,Metabolism
