Samplen_num	Site	Treatment	Replication	Combine_tag
37	Rhizosphere	Water	1	Rhizosphere_Water
38	Rhizosphere	Water	2	Rhizosphere_Water
39	Rhizosphere	Water	3	Rhizosphere_Water
40	Rhizosphere	Water	4	Rhizosphere_Water
41	Rhizosphere	Water	5	Rhizosphere_Water
42	Rhizosphere	Water	6	Rhizosphere_Water
43	Rhizosphere	SA	1	Rhizosphere_SA
44	Rhizosphere	SA	2	Rhizosphere_SA
45	Rhizosphere	SA	3	Rhizosphere_SA
46	Rhizosphere	SA	4	Rhizosphere_SA
47	Rhizosphere	SA	5	Rhizosphere_SA
48	Rhizosphere	SA	6	Rhizosphere_SA
91	Soil	Water	1	Soil_Water
92	Soil	Water	2	Soil_Water
93	Soil	Water	3	Soil_Water
94	Soil	Water	4	Soil_Water
95	Soil	Water	5	Soil_Water
96	Soil	Water	6	Soil_Water
97	Soil	SA	1	Soil_SA
98	Soil	SA	2	Soil_SA
99	Soil	SA	3	Soil_SA
100	Soil	SA	4	Soil_SA
101	Soil	SA	5	Soil_SA
102	Soil	SA	6	Soil_SA
