sample_ID,OD600
R.sola+SA,0.586000025
R.sola+SA,0.59859997
R.sola+SA,0.587800026
R.sola+SA,0.590799987
R.sola+SA,0.597899973
R.sola+SA,0.575699985
R.sola,0.600600004
R.sola,0.624899983
R.sola,0.605300009
R.sola,0.601199985
R.sola,0.610800028
R.sola,0.620100021
RSA89+SA,0.460599989
RSA89+SA,0.45449999
RSA89+SA,0.463699996
RSA89+SA,0.462000012
RSA89+SA,0.454699993
RSA89+SA,0.452800006
RSA89,0.44659999
RSA89,0.441100001
RSA89,0.444000006
RSA89,0.449900001
RSA89,0.458999991
RSA89,0.458799988
