Type,Rep,Value,State
Swimming,1,6.12,CK
Swimming,2,6.39,CK
Swimming,3,6.5,CK
Swimming,4,6.35,CK
Swimming,5,6.9,CK
Swimming,6,6.9,CK
Swarming,1,6.15,CK
Swarming,2,6.45,CK
Swarming,3,6.69,CK
Swarming,4,6.57,CK
Swarming,5,6.98,CK
Swarming,6,6.01,CK
Twichting,1,9.06,CK
Twichting,2,8.86,CK
Twichting,3,9.63,CK
Twichting,4,9.73,CK
Twichting,5,10.21,CK
Twichting,6,7.94,CK
Swimming,1,6.43,SA
Swimming,2,6.01,SA
Swimming,3,6.43,SA
Swimming,4,6.84,SA
Swimming,5,6.34,SA
Swimming,6,6.34,SA
Swarming,1,6.35,SA
Swarming,2,6.78,SA
Swarming,3,6.52,SA
Swarming,4,6.43,SA
Swarming,5,6.01,SA
Swarming,6,6.56,SA
Twichting,1,9.06,SA
Twichting,2,8.86,SA
Twichting,3,9.83,SA
Twichting,4,9.63,SA
Twichting,5,8.77,SA
Twichting,6,9.34,SA
